Name,Team Name,Age,age_group,Position,Injury,injury_month_name,injury_year,avg_before,avg_after,performance_drop,performance_change,recovery_days,injury_count,injury_month_num
Paul Pogba,Man United,28,Prime,Central Midfielder,Hamstring Injury,November,2021,6.0,7.33,-1.33,Improved,87.0,1,11.0
Scott McToMinay,Man United,23,Prime,Central Midfielder,Knee Injury,November,2019,6.97,7.0,-0.03,Improved,23.0,1,11.0
Scott McToMinay,Man United,23,Prime,Central Midfielder,Knee Injury,December,2019,7.2,7.05,0.15,Dropped,57.0,1,12.0
Scott McToMinay,Man United,24,Prime,Central Midfielder,Bruise,November,2020,6.77,6.8,-0.03,Improved,9.0,1,11.0
Scott McToMinay,Man United,24,Prime,Central Midfielder,Knock,February,2021,7.77,6.45,1.32,Dropped,8.0,1,2.0
Scott McToMinay,Man United,24,Prime,Central Midfielder,Groin Injury,August,2021,6.0,6.6,-0.6,Improved,21.0,1,8.0
Scott McToMinay,Man United,25,Prime,Central Midfielder,Foot Injury,April,2022,6.4,6.83,-0.43,Improved,12.0,1,4.0
Scott McToMinay,Man United,26,Prime,Central Midfielder,Unknown Injury,April,2023,6.1,6.2,-0.1,Improved,32.0,1,4.0
Fred,Man United,27,Prime,Central Midfielder,Coronavirus,February,2022,6.0,6.0,0.0,No Change,7.0,1,2.0
Fred,Man United,27,Prime,Central Midfielder,Hip Flexor Problems,April,2022,6.07,6.13,-0.07,Improved,21.0,1,4.0
Bruno Fernandes,Man United,25,Prime,Attacking Midfielder,Ill,March,2022,3.93,7.4,-3.47,Improved,2.0,1,3.0
Juan Mata,Man United,32,Senior,Attacking Midfielder,Muscle Injury,February,2021,6.0,6.6,-0.6,Improved,37.0,1,2.0
Marcus Rashford,Man United,22,Young,Left Winger,Back Injury,January,2020,7.43,7.25,0.18,Dropped,141.0,1,1.0
Marcus Rashford,Man United,24,Prime,Left Winger,Dead Leg,January,2022,6.63,7.1,-0.47,Improved,4.0,1,1.0
Marcus Rashford,Man United,24,Prime,Left Winger,Bronchitis,May,2022,5.7,5.93,-0.23,Improved,15.0,1,5.0
Marcus Rashford,Man United,24,Prime,Left Winger,Muscle Injury,April,2023,6.3,6.33,-0.03,Improved,11.0,1,4.0
Marcus Rashford,Man United,25,Prime,Left Winger,Leg Injury,May,2023,6.33,7.1,-0.77,Improved,13.0,1,5.0
Mason Greenwood,Man United,18,Young,Right Winger,Tonsillitis,September,2019,,7.6,,No Change,3.0,1,9.0
Mason Greenwood,Man United,19,Young,Right Winger,Bruise,October,2020,6.55,7.4,-0.85,Improved,37.0,1,10.0
Mason Greenwood,Man United,20,Young,Right Winger,Coronavirus,November,2021,6.43,6.17,0.27,Dropped,8.0,1,11.0
Daniel James,Man United,22,Young,Right Winger,Knock,February,2020,6.6,6.0,0.6,Dropped,8.0,1,2.0
Anthony Martial,Man United,24,Prime,Center Forward,Hamstring Strain,August,2019,6.55,6.5,0.05,Dropped,56.0,1,8.0
Anthony Martial,Man United,26,Prime,Center Forward,Fitness,October,2021,6.1,7.0,-0.9,Improved,14.0,1,10.0
Anthony Martial,Man United,26,Prime,Center Forward,Knee Injury,December,2021,7.1,7.2,-0.1,Improved,9.0,1,12.0
Anthony Martial,Man United,27,Prime,Center Forward,Achilles Tendon Irritation,August,2022,6.1,6.8,-0.7,Improved,34.0,1,8.0
Anthony Martial,Man United,27,Prime,Center Forward,Back Injury,October,2022,6.8,6.67,0.13,Dropped,21.0,1,10.0
Anthony Martial,Man United,27,Prime,Center Forward,Hip Injury,February,2023,7.35,6.9,0.45,Dropped,34.0,1,2.0
Donny Van De Beek,Man United,32,Senior,Central Midfielder,Shingles,September,2022,6.13,5.4,0.73,Dropped,51.0,1,9.0
Edinson Cavani,Man United,34,Senior,Center Forward,Knock,December,2020,6.0,6.13,-0.13,Improved,12.0,1,12.0
Edinson Cavani,Man United,34,Senior,Center Forward,Muscle Injury,February,2021,7.7,5.8,1.9,Dropped,14.0,1,2.0
Edinson Cavani,Man United,34,Senior,Center Forward,Knock,March,2021,6.2,6.3,-0.1,Improved,16.0,1,3.0
Edinson Cavani,Man United,35,Senior,Center Forward,Tendon Irritation,November,2021,6.23,6.07,0.17,Dropped,48.0,1,11.0
Edinson Cavani,Man United,35,Senior,Center Forward,Groin Problems,February,2022,6.07,5.6,0.47,Dropped,24.0,1,2.0
Edinson Cavani,Man United,35,Senior,Center Forward,Calf Injury,April,2022,5.6,5.6,0.0,Dropped,29.0,1,4.0
Raphael Varane,Man United,30,Senior,Center Back,Groin Injury,October,2021,6.6,6.2,0.4,Dropped,15.0,1,10.0
Raphael Varane,Man United,30,Senior,Center Back,Hamstring Injury,November,2021,6.27,6.53,-0.27,Improved,50.0,1,11.0
Raphael Varane,Man United,30,Senior,Center Back,Abdominal Problems,February,2022,6.63,6.33,0.3,Dropped,4.0,1,2.0
Raphael Varane,Man United,30,Senior,Center Back,Muscular Problems,April,2022,6.53,6.63,-0.1,Improved,18.0,1,4.0
Raphael Varane,Man United,31,Senior,Center Back,Leg Injury,October,2022,6.9,6.8,0.1,Dropped,23.0,1,10.0
Raphael Varane,Man United,31,Senior,Center Back,Foot Injury,April,2023,6.6,6.8,-0.2,Improved,24.0,1,4.0
Christiano Ronaldo,Man United,39,Senior,Center Forward,Hip Flexor Problems,January,2022,7.33,7.0,0.33,Dropped,7.0,1,1.0
Christiano Ronaldo,Man United,39,Senior,Center Forward,Hip Flexor Problems,March,2022,6.67,7.0,-0.33,Improved,4.0,1,3.0
Christian Eriksen,Man United,33,Senior,Central Midfielder,Ankle Injury,January,2023,6.15,6.73,-0.58,Improved,67.0,1,1.0
Marcel Sabitzer,Man United,32,Senior,Central Midfielder,Unknown Injury,March,2023,6.63,6.6,0.03,Dropped,8.0,1,3.0
Marcel Sabitzer,Man United,32,Senior,Central Midfielder,Groin Problems,April,2023,6.25,6.65,-0.4,Improved,3.0,1,4.0
Jadon Sancho,Man United,20,Young,Left Winger,Depression,December,2022,6.0,6.2,-0.2,Improved,36.0,1,12.0
David Raya,Brentford,26,Prime,Goalkeeper,Knee Injury,October,2021,6.57,6.33,0.23,Dropped,102.0,1,10.0
Kristoffer Ajer,Brentford,24,Prime,Center Back,Hamstring Injury,July,2022,7.55,7.2,0.35,Dropped,53.0,1,7.0
Ethan Pinnock,Brentford,29,Prime,Center Back,Ankle Injury,February,2024,6.17,6.4,-0.23,Improved,63.0,1,2.0
Christian Norgaard,Brentford,30,Senior,Defensive Midfielder ,Foot Injury,January,2024,7.1,6.8,0.3,Dropped,25.0,1,1.0
Christian Eriksen,Brentford,30,Senior,Central Midfielder,Fitness,January,2022,,6.25,,No Change,25.0,1,1.0
Shandon Baptiste,Brentford,24,Prime,Central Midfielder,Shoulder Injury,August,2023,,3.1,,No Change,78.0,1,8.0
Sergi Canos,Brentford,25,Prime,Right Winger,Hamstring Injury,August,2022,,5.47,,No Change,35.0,1,8.0
Ben Mee,Brentford,33,Senior,Center Back,Muscle Injury,September,2023,5.85,6.0,-0.15,Improved,24.0,1,9.0
Keane Lewis-Potter,Brentford,22,Young,Left Winger,Fitness,October,2022,5.2,5.4,-0.2,Improved,20.0,1,10.0
Keane Lewis-Potter,Brentford,22,Young,Left Winger,Ligament Injury,September,2022,5.2,5.4,-0.2,Improved,35.0,1,9.0
Mark Flekken,Brentford,31,Senior,Goalkeeper,Cold,October,2023,6.0,6.5,-0.5,Improved,16.0,1,10.0
Nathan Collins,Brentford,23,Prime,Center Back,Injury To The Ankle,November,2023,7.33,5.15,2.18,Dropped,27.0,1,11.0
Richarlison,Tottenham,27,Prime,Center Forward,Calf Injury,,,5.8,7.4,-1.6,Improved,,1,
Richarlison,Tottenham,28,Prime,Center Forward,Hamstring Injury,,,7.4,6.77,0.63,Dropped,,1,
Richarlison,Tottenham,28,Prime,Center Forward,Groin Surgery,,,6.4,8.37,-1.97,Improved,,1,
Sergio Reguilon,Tottenham,24,Prime,Left Back,Ankle Sprain,,,,6.47,,No Change,,1,
Sergio Reguilon,Tottenham,24,Prime,Left Back,Muscle Injury,,,7.37,6.53,0.83,Dropped,,1,
Sergio Reguilon,Tottenham,25,Prime,Left Back,Coronavirus,,,6.97,7.73,-0.77,Improved,,1,
Ben Davies,Tottenham,27,Prime,Center Back,Groin Surgery,,,6.2,6.83,-0.63,Improved,,1,
Ben Davies,Tottenham,27,Prime,Center Back,Ankle Sprain,,,5.83,6.43,-0.6,Improved,,1,
Ben Davies,Tottenham,28,Prime,Center Back,Shin Injury,,,6.97,6.97,0.0,Dropped,,1,
Ben Davies,Tottenham,30,Senior,Center Back,Shin Injury,,,7.07,6.27,0.8,Dropped,,1,
Heungmin Son,Tottenham,28,Prime,Left Winger,Broken Arm,,,7.83,7.03,0.8,Dropped,,1,
Heungmin Son,Tottenham,29,Prime,Left Winger,Hamstring Injury,,,6.47,6.67,-0.2,Improved,,1,
Heungmin Son,Tottenham,30,Senior,Left Winger,Calf Injury,,,6.3,6.9,-0.6,Improved,,1,
Heungmin Son,Tottenham,30,Senior,Left Winger,Hamstring Injury,,,7.37,7.4,-0.03,Improved,,1,
Heungmin Son,Tottenham,31,Senior,Left Winger,Facial Fracture,,,6.3,7.0,-0.7,Improved,,1,
Oliver Skipp,Tottenham,19,Young,Defensive Midfielder,Hip Injury,,,7.0,6.8,0.2,Dropped,,1,
Oliver Skipp,Tottenham,22,Young,Defensive Midfielder,Inflammation Bone,,,6.9,7.27,-0.37,Improved,,1,
Oliver Skipp,Tottenham,22,Young,Defensive Midfielder,Foot Injury,,,,7.0,,No Change,,1,
Harry winks,Tottenham,24,Prime,Defensive Midfielder,Ankle Sprain,,,6.47,6.6,-0.13,Improved,,1,
Harry winks,Tottenham,23,Prime,Defensive Midfielder,Knock,,,6.57,6.4,0.17,Dropped,,1,
Moussa Sissoko,Tottenham,30,Senior,Central Midfielder,Knee Surgery,,,6.43,6.83,-0.4,Improved,,1,
Lucas Moura,Tottenham,29,Prime,Right Winger,Ankle Sprain,,,7.27,6.57,0.7,Dropped,,1,
Lucas Moura,Tottenham,30,Senior,Right Winger,Dead Leg,,,6.43,7.23,-0.8,Improved,,1,
Lucas Moura,Tottenham,30,Senior,Right Winger,Calf Injury,,,7.57,7.33,0.23,Dropped,,1,
Dele Alli,Tottenham,23,Prime,Attacking Midfielder,Hamstring Injury,,,6.53,6.27,0.27,Dropped,,1,
Dele Alli,Tottenham,24,Prime,Attacking Midfielder,Muscle Injury,,,6.2,6.23,-0.03,Improved,,1,
Dele Alli,Tottenham,25,Prime,Attacking Midfielder,Tendon Irritation,,,6.97,6.67,0.3,Dropped,,1,
Harry Kane,Tottenham,26,Prime,Center Forward,Ill,,,6.07,6.63,-0.57,Improved,,1,
Harry Kane,Tottenham,27,Prime,Center Forward,Torn Thigh Muscle,,,7.07,7.37,-0.3,Improved,,1,
Harry Kane,Tottenham,27,Prime,Center Forward,Fitness,,,7.0,7.0,0.0,No Change,,1,
Harry Kane,Tottenham,28,Prime,Center Forward,Ankle Sprain,,,6.93,6.47,0.47,Dropped,,1,
Harry Kane,Tottenham,28,Prime,Center Forward,Ankle Sprain,,,7.03,7.0,0.03,Dropped,,1,
Hugo Lloris,Tottenham,32,Senior,Goalkeeper,Elbow Injury,,,7.1,7.07,0.03,Dropped,,1,
Hugo Lloris,Tottenham,33,Senior,Goalkeeper,Groin Strain,,,6.87,6.7,0.17,Dropped,,1,
Hugo Lloris,Tottenham,36,Senior,Goalkeeper,Knee Injury,,,6.8,7.03,-0.23,Improved,,1,
Davinson Sanchez,Tottenham,23,Prime,Center Back,Ankle Sprain,,,6.4,6.4,0.0,No Change,,1,
Davinson Sanchez,Tottenham,25,Prime,Center Back,Quarantine,,,7.87,7.4,0.47,Dropped,,1,
Eric Dier,Tottenham,25,Prime,Center Back,Hip Injury,,,6.4,6.9,-0.5,Improved,,1,
Eric Dier,Tottenham,26,Prime,Center Back,Muscle Injury,,,6.53,6.83,-0.3,Improved,,1,
Eric Dier,Tottenham,28,Prime,Center Back,Thigh Problems,,,7.2,6.7,0.5,Dropped,,1,
Eric Dier,Tottenham,28,Prime,Center Back,Thigh Problems,,,6.5,7.53,-1.03,Improved,,1,
Ryan Sessegnon,Tottenham,21,Young,Left Back,Bruise,,,,6.67,,No Change,,1,
Ryan Sessegnon,Tottenham,21,Young,Left Back,Muscle Injury,,,7.45,6.93,0.52,Dropped,,1,
Ryan Sessegnon,Tottenham,22,Young,Left Back,Hamstring Injury,,,6.57,7.5,-0.93,Improved,,1,
Emerson Royal,Tottenham,22,Young,Right Back,Unknown Surgery,,,6.63,6.93,-0.3,Improved,,1,
Emerson Royal,Tottenham,24,Prime,Right Back,Knee Injury,,,7.33,6.6,0.73,Dropped,,1,
Matt Doherty,Tottenham,28,Prime,Right Back,Coronavirus,,,7.2,6.35,0.85,Dropped,,1,
Matt Doherty,Tottenham,29,Prime,Right Back,Unknown Injury,,,6.35,5.97,0.38,Dropped,,1,
Matt Doherty,Tottenham,29,Prime,Right Back,Muscle Injury,,,6.8,7.33,-0.53,Improved,,1,
Matt Doherty,Tottenham,29,Prime,Right Back,Unknown Injury,,,6.53,7.13,-0.6,Improved,,1,
Matt Doherty,Tottenham,30,Senior,Right Midfielder,Internal Ligament Tear,,,6.63,5.77,0.87,Dropped,,1,
Pierre Emile Hojberg,Tottenham,28,Prime,Defensive Midfielder,Bruise,,,6.7,6.43,0.27,Dropped,,1,
Rodrigo Bentacur,Tottenham,25,Prime,Defensive Midfielder,Ankle Injury,,,6.4,7.47,-1.07,Improved,,1,
Rodrigo Bentacur,Tottenham,25,Prime,Defensive Midfielder,Head Injury,,,6.87,7.23,-0.37,Improved,,1,
Rodrigo Bentacur,Tottenham,25,Prime,Defensive Midfielder,Adductor Pain,,,7.13,5.63,1.5,Dropped,,1,
Rodrigo Bentacur,Tottenham,26,Prime,Defensive Midfielder,Cruciate Ligament Tear,,,6.9,5.87,1.03,Dropped,,1,
Rodrigo Bentacur,Tottenham,26,Prime,Defensive Midfielder,Torn Ankle Ligaments,,,6.1,6.73,-0.63,Improved,,1,
Tanguy Ndombele,Tottenham,22,Young,Central Midfielder ,Hamstring Injury,,,7.6,6.77,0.83,Dropped,,1,
Tanguy Ndombele,Tottenham,22,Young,Central Midfielder ,Groin Strain,,,6.07,6.7,-0.63,Improved,,1,
Tanguy Ndombele,Tottenham,22,Young,Central Midfielder ,Groin Strain,,,6.7,6.53,0.17,Dropped,,1,
Tanguy Ndombele,Tottenham,23,Prime,Central Midfielder ,Groin Strain,,,6.75,6.57,0.18,Dropped,,1,
Tanguy Ndombele,Tottenham,23,Prime,Central Midfielder ,Knock,,,6.17,6.1,0.07,Dropped,,1,
Tanguy Ndombele,Tottenham,23,Prime,Central Midfielder ,Unknown Injury,,,6.57,6.57,0.0,Dropped,,1,
Giovani Lo Celso,Tottenham,23,Prime,Central Midfielder ,Hip Injury,,,5.87,6.43,-0.57,Improved,,1,
Giovani Lo Celso,Tottenham,24,Prime,Central Midfielder ,Hamstring Injury,,,6.77,6.5,0.27,Dropped,,1,
Giovani Lo Celso,Tottenham,24,Prime,Central Midfielder ,Muscle Strain,,,6.5,6.13,0.37,Dropped,,1,
Giovani Lo Celso,Tottenham,24,Prime,Central Midfielder ,Hamstring Injury,,,6.55,6.23,0.32,Dropped,,1,
Giovani Lo Celso,Tottenham,26,Prime,Central Midfielder ,Quarantine,,,6.37,6.67,-0.3,Improved,,1,
Giovani Lo Celso,Tottenham,25,Prime,Central Midfielder ,Knee Injury,,,6.67,5.8,0.87,Dropped,,1,
Giovani Lo Celso,Tottenham,25,Prime,Central Midfielder ,Shin Injury,,,,5.85,,No Change,,1,
Giovani Lo Celso,Tottenham,27,Prime,Central Midfielder ,Hamstring Injury,,,,7.3,,No Change,,1,
Giovani Lo Celso,Tottenham,27,Prime,Central Midfielder ,Unknown Injury,,,7.07,7.23,-0.17,Improved,,1,
Giovani Lo Celso,Tottenham,28,Prime,Central Midfielder ,Muscle Strain,,,6.7,8.1,-1.4,Improved,,1,
Bryan Gil,Tottenham,20,Young,Left Winger,Coronavirus,,,,5.67,,No Change,,1,
Bryan Gil,Tottenham,21,Young,Left Winger,Knock,,,,5.93,,No Change,,1,
Bryan Gil,Tottenham,22,Young,Left Winger,Inflammation Of Pubic Bone,,,7.07,6.5,0.57,Dropped,,1,
Nick Pope,Burnley,28,Prime,Goalkeeper,Head Injury,November,2020,7.13,7.83,-0.7,Improved,7.0,1,11.0
Nick Pope,Burnley,28,Prime,Goalkeeper,Knee Surgery,May,2021,6.6,6.47,0.13,Dropped,49.0,1,5.0
Nick Pope,Burnley,29,Prime,Goalkeeper,Coronavirus,December,2021,7.33,7.33,0.0,No Change,8.0,1,12.0
James Tarkowski,Burnley,27,Prime,Center Back,Toe Injury,September,2020,6.53,6.67,-0.13,Improved,13.0,1,9.0
Ben Mee,Burnley,30,Senior,Center Back,Hamstring Strain,July,2020,6.53,6.17,0.37,Dropped,125.0,1,7.0
Ben Mee,Burnley,31,Senior,Center Back,Head Injury,February,2021,6.17,6.0,0.17,Dropped,7.0,1,2.0
Erik Pieters,Burnley,32,Senior,Center Back,Calf Injury,October,2020,6.9,5.8,1.1,Dropped,33.0,1,10.0
Charlie Taylor,Burnley,26,Prime,Left Back,Hamstring Strain,December,2019,6.47,6.37,0.1,Dropped,19.0,1,12.0
Charlie Taylor,Burnley,26,Prime,Left Back,Hamstring Strain,February,2020,6.73,6.83,-0.1,Improved,11.0,1,2.0
Charlie Taylor,Burnley,26,Prime,Left Back,Hamstring Strain,July,2020,6.3,6.0,0.3,Dropped,62.0,1,7.0
Charlie Taylor,Burnley,27,Prime,Left Back,Hamstring Strain,December,2020,6.37,6.0,0.37,Dropped,47.0,1,12.0
Charlie Taylor,Burnley,28,Prime,Left Back,Bruise On Ankle,January,2022,6.37,6.15,0.22,Dropped,49.0,1,1.0
Matthew Lowton,Burnley,30,Senior,Right Back,Knee Injury,February,2020,5.93,6.1,-0.17,Improved,128.0,1,2.0
Matthew Lowton,Burnley,31,Senior,Right Back,Ankle And Knee Injury,June,2020,6.1,6.53,-0.43,Improved,119.0,1,6.0
Phil Bardsley,Burnley,34,Senior,Right Back,Knock,December,2019,6.0,6.47,-0.47,Improved,8.0,1,12.0
Phil Bardsley,Burnley,34,Senior,Right Back,Back Injury,January,2020,6.3,6.57,-0.27,Improved,12.0,1,1.0
Jack Cork,Burnley,30,Senior,Defensive Midfielder,Shoulder Injury,September,2019,6.63,6.5,0.13,Dropped,26.0,1,9.0
Jack Cork,Burnley,31,Senior,Defensive Midfielder,Broken Foot,June,2020,6.03,5.5,0.53,Dropped,166.0,1,6.0
Ashley Westwood,Burnley,30,Senior,Defensive Midfielder,Groin Injury,November,2019,6.57,6.83,-0.27,Improved,19.0,1,11.0
Josh Brownhill,Burnley,24,Prime,Central Midfielder,Ankle Injury,January,2021,6.23,6.2,0.03,Dropped,15.0,1,1.0
Josh Brownhill,Burnley,26,Prime,Central Midfielder,Coronavirus,December,2021,6.55,6.3,0.25,Dropped,24.0,1,12.0
Robbie Brady,Burnley,28,Prime,Left Midfielder,Chest Injury,September,2020,6.0,6.8,-0.8,Improved,11.0,1,9.0
Robbie Brady,Burnley,28,Prime,Left Midfielder,Hamstring Injury,November,2020,6.8,6.77,0.03,Dropped,10.0,1,11.0
Robbie Brady,Burnley,28,Prime,Left Midfielder,Hamstring Injury,December,2020,6.37,6.27,0.1,Dropped,6.0,1,12.0
Dwight McNeil,Burnley,21,Young,Left Winger,Groin Injury,December,2020,6.0,6.5,-0.5,Improved,20.0,1,12.0
Jóhann Berg Gudmundsson,Burnley,28,Prime,Right Winger,Calf Strain,August,2019,6.13,5.9,0.23,Dropped,32.0,1,8.0
Jóhann Berg Gudmundsson,Burnley,29,Prime,Right Winger,Hamstring Strain,January,2020,,6.7,,No Change,181.0,1,1.0
Jóhann Berg Gudmundsson,Burnley,29,Prime,Right Winger,Knee Injury,September,2020,,5.83,,No Change,14.0,1,9.0
Jóhann Berg Gudmundsson,Burnley,30,Senior,Right Winger,Hamstring Strain,October,2020,5.83,6.1,-0.27,Improved,8.0,1,10.0
Jóhann Berg Gudmundsson,Burnley,30,Senior,Right Winger,Hamstring Strain,November,2020,6.1,5.85,0.25,Dropped,43.0,1,11.0
Jóhann Berg Gudmundsson,Burnley,30,Senior,Right Winger,Groin Strain,February,2021,6.77,6.47,0.3,Dropped,14.0,1,2.0
Jóhann Berg Gudmundsson,Burnley,32,Senior,Right Winger,Muscle Injury,September,2023,5.7,6.6,-0.9,Improved,29.0,1,9.0
Aaron Lennon,Burnley,32,Senior,Right Winger,Ill,December,2019,5.9,5.3,0.6,Dropped,19.0,1,12.0
Chris Wood,Burnley,27,Prime,Center Forward,Hamstring Injury,October,2019,6.5,6.5,0.0,No Change,19.0,1,10.0
Chris Wood,Burnley,28,Prime,Center Forward,Hamstring Strain,February,2020,5.9,7.1,-1.2,Improved,12.0,1,2.0
Chris Wood,Burnley,28,Prime,Center Forward,Calf Injury,June,2020,7.1,5.1,2.0,Dropped,29.0,1,6.0
Chris Wood,Burnley,29,Prime,Center Forward,Hamstring Strain,February,2021,6.03,6.65,-0.62,Improved,17.0,1,2.0
Ashley Barnes,Burnley,29,Prime,Center Forward,Groin Injury,October,2019,5.5,6.2,-0.7,Improved,8.0,1,10.0
Ashley Barnes,Burnley,30,Senior,Center Forward,Groin Injury,December,2019,5.7,6.25,-0.55,Improved,8.0,1,12.0
Ashley Barnes,Burnley,30,Senior,Center Forward,Groin Surgery,January,2020,5.3,5.83,-0.53,Improved,271.0,1,1.0
Ashley Barnes,Burnley,31,Senior,Center Forward,Bruise,January,2021,6.07,6.23,-0.17,Improved,9.0,1,1.0
Ashley Barnes,Burnley,32,Senior,Center Forward,Groin Injury,November,2021,,6.0,,No Change,80.0,1,11.0
Jay Rodríguez,Burnley,30,Senior,Center Forward,Ill,January,2020,5.1,6.57,-1.47,Improved,13.0,1,1.0
Jay Rodríguez,Burnley,30,Senior,Center Forward,Hamstring Strain,June,2020,6.37,6.97,-0.6,Improved,8.0,1,6.0
Jay Rodríguez,Burnley,31,Senior,Center Forward,Ankle Injury,September,2020,6.0,6.0,0.0,No Change,25.0,1,9.0
Jay Rodríguez,Burnley,32,Senior,Center Forward,Knee Injury,December,2020,5.35,5.7,-0.35,Improved,14.0,1,12.0
Matej Vydra,Burnley,27,Prime,Center Forward,Hip Injury,November,2019,,6.1,,No Change,30.0,1,11.0
Matej Vydra,Burnley,28,Prime,Center Forward,Back Injury,December,2020,5.3,5.13,0.17,Dropped,-342.0,1,12.0
Matej Vydra,Burnley,28,Prime,Center Forward,Hamstring Injury,February,2021,5.9,5.9,-0.0,Improved,8.0,1,2.0
Matej Vydra,Burnley,29,Prime,Center Forward,Groin Surgery And Elbow Injury,February,2022,5.83,5.67,0.17,Dropped,25.0,1,2.0
Connor Roberts,Burnley,26,Prime,Right Back,Infection,December,2021,,6.57,,No Change,32.0,1,12.0
Maxwel Cornet,Burnley,25,Prime,Left Winger,Hamstring Injury,December,2021,5.97,6.45,-0.48,Improved,27.0,1,12.0
Maxwel Cornet,Burnley,25,Prime,Left Winger,Knee Problems,April,2022,5.87,5.6,0.27,Dropped,13.0,1,4.0
Jordan Beyer,Burnley,23,Prime,Center Back,Meniscus Injury,October,2023,6.67,6.17,0.5,Dropped,26.0,1,10.0
Hjalmar Ekdal,Burnley,23,Prime,Center Back,Knee Injury,August,2023,,6.13,,No Change,80.0,1,8.0
Mike Trésor,Burnley,24,Prime,Left Winger,Hamstring Injury,August,2023,,5.8,,No Change,38.0,1,8.0
Nathan Redmond,Burnley,29,Prime,Right Winger,Unknown Injur,September,2023,5.7,5.67,0.03,Dropped,35.0,1,9.0
Lyle Foster,Burnley,23,Prime,Center Forward,Depression,November,2023,6.17,5.73,0.43,Dropped,31.0,1,11.0
Vitinho,Burnley,24,Prime,Right Back,Knee Injury,August,2023,5.5,5.53,-0.03,Improved,26.0,1,8.0
Jordan Pickford,Everton,26,Prime,Goalkeeper,Chest Injury,January,2021,6.23,6.97,-0.73,Improved,21.0,1,1.0
Jordan Pickford,Everton,27,Prime,Goalkeeper,Shoulder Injury,September,2021,7.1,6.63,0.47,Dropped,14.0,1,9.0
Jordan Pickford,Everton,28,Prime,Goalkeeper,Thigh Problems,September,2022,7.43,6.47,0.97,Dropped,18.0,1,9.0
Michael Keane,Everton,27,Prime,Center Back,Neck Injury,January,2020,6.9,6.5,0.4,Dropped,3.0,1,1.0
Yerry Mina,Everton,25,Prime,Center Back,Knee Injury,October,2019,6.63,6.27,0.37,Dropped,13.0,1,10.0
Yerry Mina,Everton,25,Prime,Center Back,Bruise,December,2019,5.9,7.03,-1.13,Improved,8.0,1,12.0
Yerry Mina,Everton,25,Prime,Center Back,Muscle Injury,June,2020,7.13,6.7,0.43,Dropped,,1,6.0
Yerry Mina,Everton,26,Prime,Center Back,Calf Injury,February,2021,6.23,6.93,-0.7,Improved,22.0,1,2.0
Yerry Mina,Everton,27,Prime,Center Back,Thigh Problems,October,2021,6.6,6.3,0.3,Dropped,39.0,1,10.0
Yerry Mina,Everton,27,Prime,Center Back,Hamstring Injury,February,2022,6.3,5.9,0.4,Dropped,62.0,1,2.0
Yerry Mina,Everton,27,Prime,Center Back,Ankle Injury,August,2022,5.8,7.1,-1.3,Improved,86.0,1,8.0
Mason Holgate,Everton,22,Young,Center Back,Calf Injury,July,2020,6.87,6.2,0.67,Dropped,8.0,1,7.0
Mason Holgate,Everton,22,Young,Center Back,Ankle Injury,September,2020,,7.07,,No Change,49.0,1,9.0
Lucas Digne,Everton,26,Prime,Left Back,Calf Injury,February,2020,7.23,7.03,0.2,Dropped,27.0,1,2.0
Lucas Digne,Everton,27,Prime,Left Back,Ankle Injury,November,2020,7.03,6.7,0.33,Dropped,46.0,1,11.0
Djibril Sidibé,Everton,27,Prime,Right Back,Unknown Injury,December,2019,7.03,7.17,-0.13,Improved,3.0,1,12.0
Djibril Sidibé,Everton,27,Prime,Right Back,Foot Injury,June,2020,6.05,6.4,-0.35,Improved,10.0,1,6.0
Séamus Coleman,Everton,30,Senior,Right Back,Hamstring Injury,November,2019,,6.55,,No Change,20.0,1,11.0
Séamus Coleman,Everton,30,Senior,Right Back,Hamstring Strain,March,2020,6.15,6.97,-0.82,Improved,104.0,1,3.0
Séamus Coleman,Everton,31,Senior,Right Back,Muscle Injury,October,2020,6.67,6.15,0.52,Dropped,62.0,1,10.0
Séamus Coleman,Everton,31,Senior,Right Back,Hamstring Injury,September,2021,6.23,5.83,0.4,Dropped,28.0,1,9.0
Séamus Coleman,Everton,33,Senior,Right Back,Knee Injury,May,2023,6.1,6.8,-0.7,Improved,206.0,1,5.0
Morgan Schneiderlin,Everton,29,Prime,Defensive Midfielder,Calf Strain,December,2019,6.3,7.7,-1.4,Improved,27.0,1,12.0
André Gomes,Everton,26,Prime,Central Midfielder,Bruised Ribs,September,2019,6.7,6.4,0.3,Dropped,32.0,1,9.0
André Gomes,Everton,26,Prime,Central Midfielder,Ankle Injury,November,2019,6.4,6.4,-0.0,Improved,109.0,1,11.0
André Gomes,Everton,27,Prime,Central Midfielder,Bruise,September,2020,6.73,5.6,1.13,Dropped,19.0,1,9.0
André Gomes,Everton,28,Prime,Central Midfielder,Calf Injury,September,2021,,5.9,,No Change,75.0,1,9.0
André Gomes,Everton,29,Prime,Central Midfielder,Fitness,August,2023,,5.75,,No Change,112.0,1,8.0
Tom Davies,Everton,21,Young,Central Midfielder,Ill,January,2020,6.57,6.0,0.57,Dropped,5.0,1,1.0
Tom Davies,Everton,22,Young,Central Midfielder,Bruise,October,2020,7.0,6.1,0.9,Dropped,7.0,1,10.0
